Site,Site_Category,Depth ,Pebbles,Sand,Silt,Clay,Muck,Detritus
4,M,46,5,65,10,0,20,0
6,L,75,0,5,40,0,45,10
8,H,91,0,20,40,0,40,0
9,M,130,0,20,40,0,40,0
11,H,91,0,0,50,0,50,0
13,H,152,0,33,33,0,33,0
16,H,76,5,30,40,0,25,0
19,H,100,10,65,20,0,10,5
21,H,122,0,5,45,0,50,0
22,H,76,0,15,40,0,45,0
24,H,122,5,10,20,10,20,35
26,H,46,0,10,45,0,45,0
29,H,200,5,30,40,0,25,0
31,H,198,10,40,40,0,10,0
32,H,122,0,5,25,0,70,0
33,H,152,0,10,45,0,45,0
34,H,213,0,50,10,0,40,0
35,H,152,5,0,20,5,70,0
36,H,75,0,25,15,5,25,30
S1,L,200,0,30,20,0,50,0
S10,H,122,5,60,20,0,15,0
S14,M,300,0,0,40,0,60,0
S16,L,150,5,10,40,25,20,0
S17,L,25,25,20,40,0,0,0
S18,L,61,0,0,20,65,0,15
S19,L,91,0,50,5,20,5,15
S2,L,150,0,15,40,35,10,0
S22,M,122,0,60,5,15,10,10
S23,L,150,0,20,40,0,40,0
S24,L,33,10,45,45,0,0,0
S27,M,91,5,15,15,30,25,10
S28,M,150,0,33,33,0,33,0
S29,M,150,15,0,45,20,20,0
S3,M,250,0,10,45,0,45,0
S33,M,200,0,0,30,0,70,0
S4,M,175,0,60,30,0,10,0
S45,M,200,0,10,20,5,25,40
S49,M,100,0,15,65,0,20,0
S55,M,125,0,20,20,0,60,0
S57,M,107,15,70,10,0,0,15
S6,M,175,0,0,50,0,50,0
S60,M,250,0,25,10,10,45,10
S74,M,250,0,0,40,0,60,0
